<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HBD,20100604,4.0757,4.0757,4.0510,4.0510,3900,16.5000,16.5000,16.4000,16.4000,0,0,0
HBD,20100603,4.0016,4.0757,4.0016,4.0757,3600,16.2000,16.5000,16.2000,16.5000,0,2600,0
HBD,20100602,3.9522,4.2733,3.9522,4.2733,800,16.0000,17.3000,16.0000,17.3000,0,0,0
HBD,20100601,4.0757,4.1992,4.0263,4.0263,3100,16.5000,17.0000,16.3000,16.3000,0,200,0
HBD,20100531,4.1498,4.1992,4.1498,4.1992,1800,16.8000,17.0000,16.8000,17.0000,0,0,0
HBD,20100528,4.0757,4.1745,4.0016,4.1498,15100,16.5000,16.9000,16.2000,16.8000,0,8000,0
HBD,20100527,4.0016,4.0016,3.9522,3.9522,1300,16.2000,16.2000,16.0000,16.0000,0,0,0
HBD,20100526,3.9275,4.0016,3.8781,4.0016,11500,15.9000,16.2000,15.7000,16.2000,0,1300,0
HBD,20100525,3.9028,3.9522,3.9028,3.9522,14700,15.8000,16.0000,15.8000,16.0000,0,500,0
HBD,20100524,3.9028,3.9028,3.9028,3.9028,7000,15.8000,15.8000,15.8000,15.8000,0,7000,0
HBD,20100521,3.8534,3.9522,3.7793,3.9028,57100,15.6000,16.0000,15.3000,15.8000,0,300,500
HBD,20100520,3.9522,3.9522,3.9522,3.9522,5100,16.0000,16.0000,16.0000,16.0000,0,0,0
HBD,20100519,4.0263,4.0263,3.8534,3.9522,30200,16.3000,16.3000,15.6000,16.0000,0,0,2500
HBD,20100518,3.9028,3.9522,3.9028,3.9522,17500,15.8000,16.0000,15.8000,16.0000,0,1500,2000
HBD,20100517,3.9275,3.9522,3.8781,3.9028,22100,15.9000,16.0000,15.7000,15.8000,0,0,0
HBD,20100514,3.8534,4.0016,3.8534,4.0016,4300,15.6000,16.2000,15.6000,16.2000,0,2800,0
HBD,20100513,3.8287,3.8781,3.8040,3.8534,13600,15.5000,15.7000,15.4000,15.6000,0,1600,0
HBD,20100512,4.0757,4.0757,4.0757,4.0757,16000,16.5000,16.5000,16.5000,16.5000,0,5000,0
HBD,20100511,4.5450,4.5697,4.1745,4.1992,5400,18.4000,18.5000,16.9000,17.0000,0,0,0
HBD,20100510,4.6932,4.6932,4.1251,4.3227,19800,19.0000,19.0000,16.7000,17.5000,0,0,0
HBD,20100507,4.6685,4.6685,4.1992,4.3968,33300,18.9000,18.9000,17.0000,17.8000,0,1000,0
HBD,20100506,4.1992,4.4215,4.1992,4.4215,60700,17.0000,17.9000,17.0000,17.9000,0,0,1300
HBD,20100505,4.1992,4.1992,4.0757,4.1745,13400,17.0000,17.0000,16.5000,16.9000,0,1000,0
